extreme,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
Umwelt: Sachsenforst: Azubis ernten rund 1.400 Kilogramm Eicheln. Bad Schandau (sa) - Forstwirt-Azubis haben im Sachsenforst in der Sächsischen Schweiz rund 1.400 Kilogramm Eichel-Saatgut geerntet. Wie die Nationalpark-,0.0,1.0,0.0,1.0,1.0
Vogelgrippe breitet sich aus - Hunderte Kraniche verendet. Mit dem Vogelzug breitet sich im Herbst auch die Vogelgrippe wieder verstärkt aus. In diesem Jahr sorgt sie vor allem bei Kranichen für ein Massensterben. In mehreren Bundesländern wurde der Erreger auch in Geflügelbetrieben nachgewiesen.,0.0,1.0,0.0,1.0,1.0
Volcano,0.055615713721841604,0.30061325823300655,0.034204657588316555,0.11642906579540732,1126.0
"Was der Koalitionsausschuss heute beschließen könnte. Bislang hat sich im ""Herbst der Reformen"" wenig bewegt. Die Erwartungen an den heutigen Koalitionsausschuss sind also groß. Kanzler Merz verspricht schnelle Beschlüsse beim Bürgergeld und zur Stärkung der Autoindustrie. Was wird diskutiert?",0.0,1.0,0.0,1.0,1.0
"Weather at the end of the week: Autumn weather in Rhineland-Palatinate and Saarland. It is autumnally fresh in Rhineland-Palatinate and Saarland. While it will remain dry on Friday, there is a chance of rain and thunderstorms over the weekend. The prospects.",0.0,1.0,0.0,1.0,1.0
"Weather forecast: Autumn weather in Hesse: Rain and thunderstorms at the start of the week. At the start of the new week, the weather in Hesse is unsettled: rain, wind and individual thunderstorms initially determine events. Things only get a little quieter in the middle of the week.",0.0,1.0,0.0,1.0,1.0
"Weather in Bavaria: Snow, storm, sun: Bavaria experiences changeable weather. First snowflakes and rain fall, then the sun alternates with clouds. After up to ten centimeters of fresh snow, the sun comes out at the start of the week and heats up the Free State.",0.0,1.0,0.0,1.0,1.0
"Weather outlook: Stormy night in Bavaria – autumnal weather. After a windy night in Bavaria, the weather remains autumnal. The weather service expects stormy gusts, rain and the first snowflakes. How the weather will start the week.",0.0,1.0,0.0,1.0,1.0
"Weather outlook: squalls and rain – autumn brings unpleasant weather. Hurricane-like gusts, heavy rain and thunderstorms: The German Weather Service warns of stormy days - even on the weekend it will remain changeable and cool.",0.0,1.0,0.0,1.0,1.0
"Weather report: Changeable weather in NRW – rain, wind and thunderstorms. Rain, wind and only short sunny breaks: the weather in North Rhine-Westphalia will remain unstable in the coming days. In some places, thunderstorms are also possible at the start of the week.",0.0,1.0,0.0,1.0,1.0
"Weather report: Lots of wind and rain in NRW at the start of the week. Stormy gusts are driving rain clouds in, from which it will rain heavily over the next few days. There are also thunderstorms. It's only expected to get drier and a little warmer at 15 degrees from Thursday.",0.0,1.0,0.0,1.0,1.0
"Weather report: Rain and cool autumnal temperatures in Hesse. In Hesse it is autumnally fresh at the end of the week. While it will remain dry on Friday, there is a chance of rain and thunderstorms over the weekend. The prospects.",0.0,1.0,0.0,1.0,1.0
"Weather: Thunderstorms and squalls possible in Saxony-Anhalt. Magdeburg (sa) - It's getting uncomfortable in Saxony-Anhalt today. According to the German Weather Service (DWD), the morning will be cloudy and rainy. In the",0.0,1.0,0.0,1.0,1.0
"Weather: Thunderstorms, rain and squalls at the start of the week in the north. Anyone traveling in Hamburg and Schleswig-Holstein should not forget their umbrella this week. It will be rainy and occasionally even thundery.",0.0,1.0,0.0,1.0,1.0
"Wechselhaftes Wetter: Wolken und Regen in Nordrhein-Westfalen. Essen (lnw) - In den nächsten Tagen bestimmen Wolken und Regen das Wetter in Nordrhein-Westfalen. Wie der Deutsche Wetterdienst (DWD) mitteilte, gibt es",0.0,1.0,0.0,1.0,1.0
Wein-Bilanz: Moselwinzer fahren wieder größere Ernte ein. Trier (lrs) - Die Moselwinzer freuen sich in diesem Herbst über eine wieder höhere Erntemenge. Die Gesamtproduktion im Gebiet von Perl bis Koblenz werde,0.0,1.0,0.0,1.0,1.0
Wein: Weinernte fällt geringer aus als angenommen. Bodenheim - Extrem frühe Lese und kräftige Niederschläge im September: Der Ertrag bei der diesjährigen Lese liegt nach Einschätzung des Deutschen,0.0,1.0,0.0,1.0,1.0
Wein: Winzer beenden Weinlese. Nach sechs Wochen ist die Weinlese bei der Winzervereinigung Freyburg-Unstrut abgeschlossen. Die Ernte brachte deutlich mehr als im Vorjahr. Was macht den Jahrgang aus?,0.0,1.0,0.0,1.0,1.0
Wet Spell,0.04986628321740681,0.30828262631922737,0.03351441650318055,0.10997335970480268,1335.0
Wetter in Deutschland: Nach dem Sturm kommen Regen und erster Schnee. Der Sturm über Norddeutschland verliert am Montag an Kraft. Danach erwarten Teile von Deutschland nasses Wetter – und in den Alpen sogar bis zu 20 Zentimeter Schnee.,0.0,1.0,0.0,1.0,1.0
Wetter: Erste Flocken auf dem Brocken. Der erste Schnee der Saison ist auf dem 1.141 Meter hohen Brocken gefallen. Idyllisch ist es da oben aber gerade nicht: Bei minus zwei Grad herrschen Orkanböen.,0.0,1.0,0.0,1.0,1.0
Wetter: Herbst-Schmuddelwetter zum Wochenstart. Hannover/ Bremen (lni) - Die neue Woche startet bewölkt und regnerisch - und es kann vereinzelt Gewitter geben. Zwischen einem Hoch über Mitteleuropa und,0.0,1.0,0.0,1.0,1.0
Wetter: Regen und Gewitter trüben das lange Wochenende in Hessen. Offenbach (lhe) - Die Menschen in Hessen müssen sich zum verlängerten Wochenende auf einen Wetterwechsel gefasst machen. Der Feiertag startet laut,0.0,1.0,0.0,1.0,1.0
Wetter: Sturmböen und Gewitter: Hessen erwartet unbeständiges Wetter. Offenbach (lhe) - In Hessen wird es stürmisch. Laut Deutschem Wetterdienst (DWD) sind bis Freitagnachmittag verbreitet Windböen bis 60 Kilometer pro,0.0,1.0,0.0,1.0,1.0
Wetter: Sturmböen und Schauer im Norden. Hamburg (lno) - In Hamburg und Schleswig-Holstein bleibt das Wetter in den kommenden Tagen ungemütlich - und vor allem windig. Nach Angaben des Deutschen,0.0,1.0,0.0,1.0,1.0
Wetter: Sturmtief bringt Regen und starke Böen nach Hessen. Hier finden Sie Informationen zu dem Thema „Wetter“. Lesen Sie jetzt „Sturmtief bringt Regen und starke Böen nach Hessen“.,0.0,1.0,0.0,1.0,1.0
Wetter: Sturmtief bringt Wind und Regen zum langen Wochenende. Offenbach - Das freundliche Herbstwetter der vergangenen Tage verabschiedet sich ausgerechnet zum Start des verlängerten Wochenendes. Am Tag der,0.0,1.0,0.0,1.0,1.0
Wetter: Sturmtief fegt über Deutschland – Verletzte und Fährausfälle. Hamburg - Ein Sturmtief ist über Deutschland hinweggefegt und hat in mehreren Bundesländern Schäden angerichtet. Mindestens zwei Menschen wurden,0.0,1.0,0.0,1.0,1.0
Wetter: Wechselhaftes Herbstwetter in NRW. Essen (lnw) - Wechselhaftes Herbstwetter herrscht in den kommenden Tagen in Nordrhein-Westfalen vor. Bis in die neue Woche ziehen Wolken und Wind über das,0.0,1.0,0.0,1.0,1.0
"Wetterbericht: Feiertag läutet Herbst-Wochenende mit Sturm und Regen ein. Stuttgart (lsw) - Wettermäßig startet das lange Wochenende mit dem Tag der Deutschen Einheit in Baden-Württemberg eher ruhig - doch wer Ausflüge plant,",0.0,1.0,0.0,1.0,1.0
Wetterbericht: Regen und Sturm beenden goldenes Herbstwetter. Essen (lnw) - Das sonnig-trockene Herbstwetter in Nordrhein-Westfalen verabschiedet sich vorerst. Am langen Wochenende sorgen atlantische Tiefdruckgebiete,0.0,1.0,0.0,1.0,1.0
Wetterbericht: Windiger Wochenauftakt. Offenbach (lrs) - Der Start in die neue Woche kommt in Rheinland-Pfalz und dem Saarland mit viel Wind daher. Es sei verbreitet mit starken bis stürmischen,0.0,1.0,0.0,1.0,1.0
Wettervorhersage: Regen und Wind zum Wochenstart in NRW. Nach einem meist trockenen Sonntag zieht in der Nacht zum Montag Regen über NRW hinweg. Zu Wochenbeginn wird das Wetter milder - mit Schauern und teils auch kurzen Gewittern.,0.0,1.0,0.0,1.0,1.0
"White driveway: How to find the right snow shovel for every surface. From the first snowfall to the last clearing operation: How to find the right snow shovel, use it efficiently and avoid typical application errors.",0.0,1.0,0.0,1.0,1.0
Wildfire,-0.026834492121829246,0.3523520091283224,0.0521057069670501,0.1404172354735223,2993.0
Winter-Asyl für Krabbeltiere: Keine Panik vor Spinnen!. Spinnen leisten einen wichtigen Beitrag fürs ökologische Gleichgewicht. Im Herbst quartieren sie sich gern in menschliche Behausungen ein. Wie geht man am besten mit ihnen um?,0.0,1.0,0.0,1.0,1.0
Winter-Vorbereitungen: Der Winter kann kommen - Straßenmeistereien sind vorbereitet. Der Winterdienst in Schleswig-Holstein startet: Wer ist für welche Straßen zuständig und wie viele Fahrzeuge stehen bereit? Ein Überblick zu Organisation und Technik.,0.0,1.0,0.0,1.0,1.0
"Wintergruß: Erster Schnee der Saison - ""Kurzes Intermezzo"". Offenbach/Poppenhausen (lhe) - Der erste Schnee der Saison in Hessen: Ein Zentimeter Schnee ist auf dem höchsten Berg des Landes, der 950 Meter hohen",0.0,1.0,0.0,1.0,1.0
Wintersport: Feldberg plant Saisonstart Ende November. Todtnau (lsw) - Das große Skigebiet Feldberg im Hochschwarzwald will am 29. November die Wintersportsaison einläuten - falls der Schnee auf den Pisten,0.0,1.0,0.0,1.0,1.0
Winterzeit: Warum die Zeitumstellung immer noch nicht abgeschafft ist. Am letzten Oktober-Wochenende wird wieder an der Uhr gedreht. Die Zeitumstellung ist für viele EU-Bürger ein leidiges Thema. Warum sich trotzdem nichts daran ändert.,0.0,1.0,0.0,1.0,1.0
"Zukunft des Fußballs: Bundesliga-Abo für Kängurus. Die Welt-Fußball-Führung lässt den gemeinen Fan in die Glaskugel schauen. Der sieht 2034 Stadionruinen in Deutschland, ein German-Football-Finale in Perth und wohl auch die nächste WM im Winter.",0.0,1.0,0.0,1.0,1.0
"Zum ""Welttag des Stotterns"": Verband: Umgang mit stotternden Menschen hat sich verbessert. Mainz/Saarbrücken (lrs) - Der gesellschaftliche Umgang mit stotternden Menschen hat sich nach Einschätzung von Oliver Winter vom Landesverband Stottern &",0.0,1.0,0.0,1.0,1.0
«Tatort» aus Hannover: Da lernt man etwas über die Härten des Bauernlebens. In «Letzte Ernte» trifft Kommissarin Lindholm auf einen ideenlosen Polizisten und auf ein kopfloses Opfer.,0.0,1.0,0.0,1.0,1.0
Österreichische Post: weltweit 1. Briefmarke aus 3D-Drucker. <ul><li>Edelweißblüte ist weich und biegsam und ähnelt in samtiger Oberfläche echtem Edelweiß</li><li>Ab Samstag in Postfilialen und online erhältlich<br /></li></ul>,0.0,1.0,0.0,1.0,1.0
"“Harvest” planting festival: Chemnitz celebrates apples with more than 1,000 new trees. The Capital of Culture celebrates the apple: even more tree planting, a diverse program of events and a contribution to biodiversity characterize the “Harvest” planting festival.",0.0,1.0,0.0,1.0,1.0
